date,symbol,series,prev Close,open,high,low,last,close,VWAP,volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-01-2000,TELCO,EQ,201.6,207.4,217.25,207.4,217,216.75,214.28,676126,1.44878E+13,,,
04-01-2000,TELCO,EQ,216.75,217,219,206,211.9,208.2,209.5,679215,1.42296E+13,,,
05-01-2000,TELCO,EQ,208.2,194,217.8,194,213.1,213.25,210.33,1120951,2.35768E+13,,,
06-01-2000,TELCO,EQ,213.25,215,229.9,215,222,222.1,225.29,1968998,4.43593E+13,,,
07-01-2000,TELCO,EQ,222.1,224,239.9,223.1,239.9,239.9,236.32,2199431,5.19764E+13,,,
10-01-2000,TELCO,EQ,239.9,259,259.1,248,259.1,258.85,257.2,1720542,4.4253E+13,,,
11-01-2000,TELCO,EQ,258.85,260,260,238.15,238.15,238.15,246.63,1207916,2.97908E+13,,,
12-01-2000,TELCO,EQ,238.15,240,246,229,242.45,240.25,237.13,938579,2.22565E+13,,,
13-01-2000,TELCO,EQ,240.25,243,245,231.6,233,235.45,237.31,565754,1.34261E+13,,,
14-01-2000,TELCO,EQ,235.45,234.95,243,233,239.8,239.05,239.04,1024725,2.4495E+13,,,
17-01-2000,TELCO,EQ,239.05,242.95,258.1,242.95,251,250.65,252.65,1482994,3.74683E+13,,,
18-01-2000,TELCO,EQ,250.65,251,252.5,245.05,250,248,248.46,792347,1.96867E+13,,,
19-01-2000,TELCO,EQ,248,251,257.9,242.6,249.5,250.5,249.51,1221042,3.04661E+13,,,
20-01-2000,TELCO,EQ,250.5,250,250,233.6,234,235.7,242.37,557949,1.35232E+13,,,
21-01-2000,TELCO,EQ,235.7,230.1,233.8,225.5,231.1,232.2,230.09,696339,1.6022E+13,,,
24-01-2000,TELCO,EQ,232.2,230,235.9,213.65,213.65,213.65,223.44,1125168,2.51408E+13,,,
25-01-2000,TELCO,EQ,213.65,200.35,204.9,196.6,196.6,196.6,198.54,706121,1.40194E+13,,,
27-01-2000,TELCO,EQ,196.6,190,193,180.9,180.9,180.9,182.54,1728526,3.15524E+13,,,
28-01-2000,TELCO,EQ,180.9,171,182,168.35,175,175.2,174.95,2671887,4.67457E+13,,,
31-01-2000,TELCO,EQ,175.2,171.15,188.7,170.05,178.6,179.7,181.2,2850688,5.16539E+13,,,
01-02-2000,TELCO,EQ,179.7,179.9,184.9,172.1,176.1,175.3,177.04,1206216,2.13547E+13,,,
02-02-2000,TELCO,EQ,175.3,184,186.9,178.35,179.95,180.1,182.72,896220,1.63762E+13,,,
03-02-2000,TELCO,EQ,180.1,180,181.75,176.75,177.7,177.35,179.57,390462,7.01148E+12,,,
04-02-2000,TELCO,EQ,177.35,179,179.95,172.8,179.5,178.95,177.42,805045,1.42833E+13,,,
07-02-2000,TELCO,EQ,178.95,178.1,182.5,175.35,178,177.8,179.63,472973,8.4959E+12,,,
08-02-2000,TELCO,EQ,177.8,179,184.9,176.5,180.25,180.6,181,671633,1.21563E+13,,,
09-02-2000,TELCO,EQ,180.6,186,192,182,183.1,183.65,187.39,851000,1.59465E+13,,,
10-02-2000,TELCO,EQ,183.65,184.9,184.9,180,180.5,181.1,182.19,276973,5.04621E+12,,,
11-02-2000,TELCO,EQ,181.1,183.9,184.8,167.05,167.05,169.75,174.43,787181,1.3731E+13,,,
14-02-2000,TELCO,EQ,169.75,170,170,156.2,157.3,157.8,161.94,700837,1.13493E+13,,,
15-02-2000,TELCO,EQ,157.8,158.05,169,156,166,165.8,162.9,984192,1.60323E+13,,,
16-02-2000,TELCO,EQ,165.8,171.8,171.8,164.15,164.35,164.85,166.66,316694,5.27797E+12,,,
17-02-2000,TELCO,EQ,164.85,165,172,163.6,167,166.35,167.24,352975,5.90322E+12,,,
18-02-2000,TELCO,EQ,166.35,166,167,153.05,153.05,154.2,157.29,526451,8.28041E+12,,,
21-02-2000,TELCO,EQ,154.2,150,166.55,150,166.55,166.55,161.77,672967,1.08867E+13,,,
22-02-2000,TELCO,EQ,166.55,173.9,179.9,170.3,179.9,179.9,178.55,635878,1.13534E+13,,,
23-02-2000,TELCO,EQ,179.9,189.9,194,166.25,167.05,168.05,180.61,1254749,2.26615E+13,,,
24-02-2000,TELCO,EQ,168.05,170.9,174.9,165.95,169.3,170.25,170.14,469287,7.98468E+12,,,
25-02-2000,TELCO,EQ,170.25,174.45,183.9,166.55,183.9,182.9,178.97,892722,1.5977E+13,,,
28-02-2000,TELCO,EQ,182.9,184,184,174.1,182.3,181.05,180.23,651357,1.17395E+13,,,
29-02-2000,TELCO,EQ,181.05,180.05,183.4,166.6,166.6,166.6,174.15,835041,1.45421E+13,,,
01-03-2000,TELCO,EQ,166.6,167,172,154,160.7,157.6,162.06,1464975,2.37408E+13,,,
02-03-2000,TELCO,EQ,157.6,163,163.75,145.75,146.5,146.8,152.27,1313217,1.99958E+13,,,
03-03-2000,TELCO,EQ,146.8,137,141.9,135.1,135.25,135.1,136.26,1222358,1.66557E+13,,,
06-03-2000,TELCO,EQ,135.1,139.9,145.95,136.1,139.1,138.75,142.24,1705044,2.42519E+13,,,
07-03-2000,TELCO,EQ,138.75,130,139.6,130,131,132.1,133.55,1087675,1.45256E+13,,,
08-03-2000,TELCO,EQ,132.1,134,134.1,125,127.9,127.5,129.28,597334,7.7222E+12,,,
09-03-2000,TELCO,EQ,127.5,128,137.7,126.2,137.7,137.7,130.97,658855,8.62925E+12,,,
10-03-2000,TELCO,EQ,137.7,130,140,127.25,129.3,129.4,131.05,674480,8.83886E+12,,,
13-03-2000,TELCO,EQ,129.4,131.9,133.4,119.55,120.75,120.35,125.4,673380,8.4442E+12,,,
14-03-2000,TELCO,EQ,120.35,122.8,130,119.8,130,130,127.25,842598,1.07218E+13,,,
15-03-2000,TELCO,EQ,130,135,139.3,130,133.75,135.2,135.26,773900,1.0468E+13,,,
16-03-2000,TELCO,EQ,135.2,136,146.05,134,146,145.4,143.49,1108152,1.59004E+13,,,
21-03-2000,TELCO,EQ,145.4,143,153,135.25,148.6,149.55,146.6,1018963,1.49376E+13,,,
22-03-2000,TELCO,EQ,149.55,153,153.5,142.5,145.5,146.55,148.19,735518,1.08998E+13,,,
23-03-2000,TELCO,EQ,146.55,147,147.5,135.5,136.4,136.2,139.89,428079,5.9883E+12,,,
24-03-2000,TELCO,EQ,136.2,131.2,136.85,131.2,135.6,135.25,134.28,310258,4.16621E+12,,,
27-03-2000,TELCO,EQ,135.25,135,137.8,133.15,136,135.35,135.7,295252,4.00649E+12,,,
28-03-2000,TELCO,EQ,135.35,134.25,137,130.15,133.1,133.5,132.92,567466,7.54291E+12,,,
29-03-2000,TELCO,EQ,133.5,135.25,139.9,133,136,134.9,136.34,896538,1.22234E+13,,,
30-03-2000,TELCO,EQ,134.9,133.55,133.65,124.15,126.4,126.75,126.58,894430,1.13218E+13,,,
31-03-2000,TELCO,EQ,126.75,124.3,136.9,121.5,136,136.3,132.25,1010408,1.33627E+13,,,
03-04-2000,TELCO,EQ,136.3,138,145.9,135,138.9,142.7,140.43,1677659,2.3559E+13,,,
04-04-2000,TELCO,EQ,142.7,141,141,131.3,131.3,131.3,133.26,641572,8.54987E+12,,,
05-04-2000,TELCO,EQ,131.3,126.5,136,125.25,132,133.55,132.33,517712,6.85072E+12,,,
06-04-2000,TELCO,EQ,133.55,133.1,136,122.9,128.45,128.7,127.43,610757,7.78259E+12,,,
07-04-2000,TELCO,EQ,128.7,130.8,139,129,139,138.8,136.18,969387,1.3201E+13,,,
10-04-2000,TELCO,EQ,138.8,139,144.85,135.1,139.9,139.65,141.67,1220619,1.72931E+13,,,
11-04-2000,TELCO,EQ,139.65,137,141,132.2,137,137.95,136.57,548760,7.49436E+12,,,
